,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Country,Type
270,Suraj Kumar,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,2,0,Oman,bowling
271,Naseem Shah,2023-2023,11,11,89.5,3,432,22,5/57,19.63,4.80,24.5,1,0,1,0,Pakistan,bowling
272,Shaheen Shah Afridi,2023-2023,21,21,180.4,9,1010,42,5/54,24.04,5.59,25.8,1,0,5,0,Pakistan,bowling
273,Mohammad Wasim,2023-2023,12,12,93.4,5,513,19,3/31,27.00,5.47,29.5,0,0,3,0,Pakistan,bowling
274,Haris Rauf,2023-2023,22,22,178.5,5,1086,40,5/18,27.15,6.07,26.8,1,0,5,0,Pakistan,bowling
275,Hasan Ali,2023-2023,6,6,51.0,2,321,9,4/71,35.66,6.29,34.0,0,0,0,0,Pakistan,bowling
276,Usama Mir,2023-2023,12,12,106.0,0,634,15,4/43,42.26,5.98,42.4,0,0,7,0,Pakistan,bowling
277,Faheem Ashraf,2023-2023,3,3,25.0,1,144,3,2/43,48.00,5.76,50.0,0,0,2,0,Pakistan,bowling
278,Shadab Khan,2023-2023,17,16,129.4,3,745,15,4/27,49.66,5.74,51.8,0,0,6,0,Pakistan,bowling
279,Iftikhar Ahmed,2023-2023,18,13,72.4,0,429,8,3/50,53.62,5.90,54.5,0,0,9,0,Pakistan,bowling
280,Mohammad Nawaz,2023-2023,15,15,114.0,0,612,11,4/38,55.63,5.36,62.1,0,0,6,0,Pakistan,bowling
281,Agha Salman,2023-2023,18,13,63.0,0,369,4,2/42,92.25,5.85,94.5,0,0,12,0,Pakistan,bowling
282,Zaman Khan,2023-2023,1,1,6.0,1,39,0,0,0,6.50,0,0,0,0,0,Pakistan,bowling
283,Mohammad Hasnain,2023-2023,1,1,6.1,0,42,0,0,0,6.81,0,0,0,0,0,Pakistan,bowling
284,Ihsanullah,2023-2023,1,1,8.0,0,60,0,0,0,7.50,0,0,0,0,0,Pakistan,bowling
285,Abdullah Shafique,2023-2023,11,0,0.0,0,0,0,0,0,0,0,0,0,5,0,Pakistan,bowling
286,Babar Azam,2023-2023,25,0,0.0,0,0,0,0,0,0,0,0,0,7,0,Pakistan,bowling
287,Fakhar Zaman,2023-2023,20,0,0.0,0,0,0,0,0,0,0,0,0,13,0,Pakistan,bowling
288,Haris Sohail,2023-2023,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Pakistan,bowling
289,Imam-ul-Haq,2023-2023,18,0,0.0,0,0,0,0,0,0,0,0,0,5,0,Pakistan,bowling
290,Kamran Ghulam,2023-2023,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Pakistan,bowling
291,Mohammad Haris,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Pakistan,bowling
292,Mohammad Rizwan,2023-2023,25,0,0.0,0,0,0,0,0,0,0,0,0,33,2,Pakistan,bowling
293,Saud Shakeel,2023-2023,10,0,0.0,0,0,0,0,0,0,0,0,0,3,0,Pakistan,bowling
294,Shan Masood,2023-2023,4,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Pakistan,bowling
295,SI Kamea,2023-2023,12,11,94.1,5,453,23,5/38,19.69,4.81,24.5,2,0,2,0,PapuaNewGuinea,bowling
296,R Hekure,2023-2023,13,13,80.0,4,386,17,5/13,22.70,4.82,28.2,1,0,5,0,PapuaNewGuinea,bowling
297,J Kariko,2023-2023,3,3,21.0,0,114,5,4/45,22.80,5.42,25.2,0,0,0,0,PapuaNewGuinea,bowling
298,A Vala,2023-2023,13,12,83.0,5,349,12,3/21,29.08,4.20,41.5,0,0,8,0,PapuaNewGuinea,bowling
299,CA Soper,2023-2023,13,13,94.2,8,454,15,5/25,30.26,4.81,37.7,1,0,2,0,PapuaNewGuinea,bowling
300,KV Morea,2023-2023,6,6,35.0,2,223,5,2/26,44.60,6.37,42.0,0,0,2,0,PapuaNewGuinea,bowling
301,S Bau,2023-2023,13,5,34.2,0,199,3,2/38,66.33,5.79,68.6,0,0,5,0,PapuaNewGuinea,bowling
302,N Vanua,2023-2023,11,10,61.0,3,316,4,1/14,79.00,5.18,91.5,0,0,2,0,PapuaNewGuinea,bowling
303,A Nao,2023-2023,3,3,20.0,0,122,1,1/75,122.00,6.10,120.0,0,0,1,0,PapuaNewGuinea,bowling
304,CJA Amini,2023-2023,11,7,19.0,0,152,1,1/15,152.00,8.00,114.0,0,0,5,0,PapuaNewGuinea,bowling
305,K Doriga,2023-2023,13,0,0.0,0,0,0,0,0,0,0,0,0,3,2,PapuaNewGuinea,bowling
306,H Hiri,2023-2023,10,0,0.0,0,0,0,0,0,0,0,0,0,1,0,PapuaNewGuinea,bowling
307,G Toka,2023-2023,6,0,0.0,0,0,0,0,0,0,0,0,0,1,0,PapuaNewGuinea,bowling
308,TP Ura,2023-2023,10,0,0.0,0,0,0,0,0,0,0,0,0,5,0,PapuaNewGuinea,bowling
309,HGV Vare,2023-2023,6,0,0.0,0,0,0,0,0,0,0,0,0,7,0,PapuaNewGuinea,bowling
310,MRJ Watt,2023-2023,11,11,100.4,7,441,23,4/41,19.17,4.38,26.2,0,0,4,0,Scotland,bowling
311,CN Greaves,2023-2023,11,11,62.2,1,354,17,5/53,20.82,5.67,22.0,1,0,2,0,Scotland,bowling
312,MA Leask,2023-2023,11,10,64.2,2,310,14,4/24,22.14,4.81,27.5,0,0,6,0,Scotland,bowling
313,B McMullen,2023-2023,11,11,81.0,1,366,16,5/34,22.87,4.51,30.3,1,0,8,0,Scotland,bowling
314,CB Sole,2023-2023,8,8,68.5,5,347,14,3/33,24.78,5.04,29.5,0,0,4,0,Scotland,bowling
315,SM Sharif,2023-2023,9,9,65.5,4,320,10,4/20,32.00,4.86,39.5,0,0,2,0,Scotland,bowling
316,AC Evans,2023-2023,1,1,7.0,0,35,1,1/35,35.00,5.00,42.0,0,0,0,0,Scotland,bowling
317,A Neill,2023-2023,1,1,7.0,1,46,1,1/46,46.00,6.57,42.0,0,0,0,0,Scotland,bowling
318,CM McBride,2023-2023,11,3,10.0,0,54,1,1/24,54.00,5.40,60.0,0,0,4,0,Scotland,bowling
319,Hamza Tahir,2023-2023,2,2,4.0,0,26,0,0,0,6.50,0,0,0,1,0,Scotland,bowling
320,J Jarvis,2023-2023,3,3,10.0,0,71,0,0,0,7.10,0,0,0,2,0,Scotland,bowling
321,RD Berrington,2023-2023,11,1,1.0,0,9,0,0,0,9.00,0,0,0,4,0,Scotland,bowling
322,KJ Coetzer,2023-2023,3,0,0.0,0,0,0,0,0,0,0,0,0,2,0,Scotland,bowling
323,MH Cross,2023-2023,11,0,0.0,0,0,0,0,0,0,0,0,0,9,0,Scotland,bowling
324,TSS Mackintosh,2023-2023,10,0,0.0,0,0,0,0,0,0,0,0,0,2,0,Scotland,bowling
325,HG Munsey,2023-2023,6,0,0.0,0,0,0,0,0,0,0,0,0,4,0,Scotland,bowling
326,LR Naylor,2023-2023,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Scotland,bowling
327,SSB Magala,2023-2023,5,5,39.0,4,248,13,5/43,19.07,6.35,18.0,1,0,0,0,SouthAfrica,bowling
328,KA Maharaj,2023-2023,15,15,130.1,6,556,24,4/33,23.16,4.27,32.5,0,0,5,0,SouthAfrica,bowling
329,G Coetzee,2023-2023,14,14,111.0,1,720,31,4/44,23.22,6.48,21.4,0,0,4,0,SouthAfrica,bowling
330,T Shamsi,2023-2023,11,11,92.2,1,543,22,4/60,24.68,5.88,25.1,0,0,1,0,SouthAfrica,bowling
331,BC Fortuin,2023-2023,2,2,18.0,0,103,4,2/46,25.75,5.72,27.0,0,0,0,0,SouthAfrica,bowling
332,K Rabada,2023-2023,14,14,116.4,10,611,22,3/33,27.77,5.23,31.8,0,0,8,0,SouthAfrica,bowling
333,LB Williams,2023-2023,1,1,8.4,1,56,2,2/56,28.00,6.46,26.0,0,0,0,0,SouthAfrica,bowling
334,A Nortje,2023-2023,5,5,37.0,1,234,8,4/62,29.25,6.32,27.7,0,0,0,0,SouthAfrica,bowling
335,M Jansen,2023-2023,20,20,155.1,7,989,33,5/39,29.96,6.37,28.2,1,0,6,0,SouthAfrica,bowling
336,L Ngidi,2023-2023,16,16,124.3,7,753,22,4/51,34.22,6.04,33.9,0,0,6,0,SouthAfrica,bowling
337,AL Phehlukwayo,2023-2023,3,3,20.0,0,130,3,1/36,43.33,6.50,40.0,0,0,1,0,SouthAfrica,bowling
338,AK Markram,2023-2023,21,13,63.5,1,384,6,2/40,64.00,6.01,63.8,0,0,8,0,SouthAfrica,bowling
339,WD Parnell,2023-2023,4,4,32.2,2,179,2,1/30,89.50,5.53,97.0,0,0,1,0,SouthAfrica,bowling
340,T Bavuma,2023-2023,18,0,0.0,0,0,0,0,0,0,0,0,0,7,0,SouthAfrica,bowling
341,Q de Kock,2023-2023,20,0,0.0,0,0,0,0,0,0,0,0,0,32,5,SouthAfrica,bowling
342,T de Zorzi,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,SouthAfrica,bowling
343,RR Hendricks,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,2,0,SouthAfrica,bowling
